MEDIA_ID,MEDIA_NAME,CNT,TIME(2015/11/19 16:23:18.631),TIMETICK(f=3117236),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,
0,Games,25,0.41083,47045214572,0.50538,0.10218,0.00000,0.41082,1,1,0.50148,0.12529,0,0.53828,0.23535,0,,0.34868,0.31581,12.98805,1.10946,0,0.70807,0.36040,11.54755,1.11442,0,
0,Games,53,0.87085,47046648564,0.54246,0.55399,0.67358,0.19727,2,1,0.50714,0.63517,1,0.57969,0.28809,0,,0.34012,0.32544,14.38486,1.09956,1,0.70229,0.36005,13.56189,1.09956,1,
0,Games,70,1.15009,47047518979,0.40817,0.58947,0.93646,0.21362,3,1,0.42878,0.23862,1,0.57969,0.28809,0,,0.34614,0.30861,15.39835,1.09956,1,0.70903,0.35868,13.44177,1.09956,1,
0,Games,102,1.67572,47049157398,0.46399,0.25022,1.21570,0.46002,4,1,0.60793,0.32247,1,0.57969,0.28809,0,,0.30459,0.32233,15.20983,1.07975,1,0.66982,0.35309,13.92795,1.07480,1,
0,Games,132,2.16846,47050693431,0.57268,0.31682,1.74176,0.42670,5,1,0.55335,0.33281,1,0.58750,0.29199,0,,0.30249,0.31674,15.52298,1.08470,1,0.66815,0.34054,14.94758,1.08470,1,
0,Games,166,2.72693,47052434374,0.51251,0.32540,2.18494,0.54199,6,1,0.49953,0.32397,1,0.58750,0.29199,0,,0.32809,0.30831,15.74631,1.09461,1,0.69539,0.34661,15.31704,1.09461,1,
0,Games,207,3.40057,47054534159,0.51768,0.55358,2.79279,0.60779,7,1,0.54615,0.68848,1,0.58750,0.29199,0,,0.33452,0.32466,15.63261,1.07480,1,0.70161,0.35532,15.04235,1.07480,1,
0,Games,245,4.02478,47056480096,0.54671,0.66068,3.41736,0.60742,8,1,0.50904,0.75409,1,0.58750,0.29199,0,,0.32008,0.33219,14.49796,1.08470,1,0.68803,0.35064,13.75100,1.07975,1,
0,Games,272,4.46857,47057863378,0.42928,0.73431,4.09039,0.37817,9,1,0.42214,0.67393,1,0.58750,0.29199,0,,0.29980,0.33239,13.96796,1.10946,1,0.66674,0.34007,13.71216,1.10451,1,
0,Games,289,4.74774,47058733771,0.38394,0.73747,4.48486,0.26288,10,1,0.37305,0.76181,1,0.58750,0.29199,0,,0.30199,0.34246,13.46896,1.07480,1,0.66829,0.34794,12.59083,1.07975,1,
0,Games,306,5.02710,47059604416,0.37029,0.70930,4.76392,0.26318,11,1,0.40542,0.40750,1,0.58750,0.29199,0,,0.30369,0.33275,12.82869,1.12242,1,0.66731,0.33744,11.37348,1.12813,1,
0,Games,334,5.48694,47061037907,0.41046,0.34070,5.09253,0.39441,12,1,0.37799,0.35720,1,0.58750,0.29199,0,,0.30605,0.32703,13.29347,1.07975,1,0.67008,0.33194,11.08493,1.08470,1,
0,Games,347,5.70038,47061703304,0.38055,0.48524,5.50330,0.19708,13,1,0.37272,0.60741,1,0.58750,0.29199,0,,0.30659,0.33676,13.46936,1.09956,1,0.66935,0.34051,12.33701,1.09956,1,
0,Games,361,5.93042,47062420367,0.37868,0.66962,5.71674,0.21368,14,1,0.40202,0.71970,1,0.58750,0.29199,0,,0.30989,0.34047,13.70482,1.13156,1,0.67354,0.34571,12.63007,1.13156,1,
0,Games,375,6.16040,47063137269,0.46220,0.81512,5.94678,0.21362,15,1,0.56634,0.91960,1,0.58750,0.29199,0,,0.31696,0.34358,13.58196,1.11442,1,0.68154,0.34947,12.27250,1.11442,1,
0,Games,430,7.06378,47065953280,0.54477,0.83056,6.17688,0.88690,16,1,0.54517,0.77823,1,0.58750,0.29199,0,,0.31234,0.34312,11.16537,1.10527,0,0.67897,0.34328,11.19615,1.10527,1,
0,Games,443,7.27734,47066619113,0.53767,0.64300,7.08026,0.19708,17,1,0.50480,0.54282,1,0.58750,0.29199,0,,0.31529,0.33257,13.12384,1.09956,1,0.67961,0.33667,10.91897,1.09956,1,
0,Games,465,7.63879,47067745717,0.53682,0.50365,7.34314,0.29565,18,1,0.51296,0.32172,0,0.58750,0.29199,0,,0.31351,0.32697,12.51190,1.13880,0,0.67988,0.33323,8.90612,1.14375,0,
0,Games,494,8.11523,47069230919,0.55901,0.70042,7.85236,0.26288,19,1,0.59129,0.73276,1,0.58750,0.29199,0,,0.31394,0.34197,13.02076,1.12585,1,0.67743,0.34608,11.51427,1.12585,1,
0,Games,510,8.37799,47070049964,0.55147,0.76020,8.13184,0.24615,20,1,0.48038,0.75447,1,0.58750,0.29199,0,,0.31100,0.34315,12.53559,1.13156,1,0.67442,0.34700,11.80531,1.13156,1,
0,Games,545,8.95319,47071843130,0.50758,0.80236,8.39447,0.55872,21,1,0.44773,0.78493,1,0.58750,0.29199,0,,0.31134,0.34335,12.98885,1.12013,1,0.67568,0.34534,11.79480,1.12585,1,
0,Games,561,9.21570,47072661361,0.45197,0.75048,8.96942,0.24628,22,1,0.50211,0.66539,1,0.58750,0.29199,0,,0.31294,0.33869,11.90108,1.10451,1,0.67798,0.34163,11.45757,1.10451,1,
0,Games,586,9.62823,47073947363,0.32372,0.31023,9.38019,0.24805,23,1,0.37096,0.30712,1,0.58750,0.29199,0,,0.30881,0.32842,11.46504,1.11442,1,0.67379,0.33145,10.88569,1.12013,1,
0,Games,603,9.90613,47074813647,0.34804,0.27428,9.64301,0.26312,24,1,0.32014,0.26966,1,0.58750,0.29199,0,,0.30954,0.32859,12.48175,1.12813,1,0.67474,0.33103,11.15926,1.13385,1,
0,Games,639,10.49725,47076656188,0.42816,0.80073,10.02075,0.47650,25,1,0.41982,0.84172,1,0.58750,0.29199,0,,0.31392,0.34258,13.15809,1.11442,1,0.67898,0.34482,11.94529,1.11442,1,
0,Games,654,10.74359,47077424082,0.41618,0.76860,10.51367,0.22992,26,1,0.44577,0.38044,1,0.58750,0.29199,0,,0.31343,0.33225,14.04857,1.11670,1,0.67710,0.33672,10.41094,1.11670,1,
0,Games,684,11.23645,47078960433,0.41748,0.22031,10.80933,0.42712,27,1,0.39209,0.19525,1,0.58750,0.29199,0,,0.30756,0.32978,13.71498,1.11099,1,0.67148,0.32970,11.29606,1.11099,1,
0,Games,697,11.44995,47079625977,0.46544,0.49144,11.25287,0.19708,28,1,0.52627,0.84700,1,0.58750,0.29199,0,,0.30924,0.34804,13.57093,1.10527,1,0.67169,0.34688,12.04292,1.10527,1,
0,Games,730,11.99207,47081315929,0.55868,0.85311,11.51569,0.47638,29,1,0.53876,0.79925,1,0.58750,0.29199,0,,0.31348,0.34449,13.64078,1.13156,1,0.67769,0.34526,12.97834,1.13156,1,
0,Games,757,12.43567,47082698762,0.48143,0.79439,12.00867,0.42700,30,1,0.57509,0.90083,1,0.58750,0.29199,0,,0.31559,0.34535,13.39708,1.10451,1,0.68015,0.34610,12.16301,1.10947,1,
0,Games,770,12.64917,47083364321,0.54319,0.66825,12.45203,0.19714,31,1,0.46608,0.35639,1,0.58750,0.29199,0,,0.31278,0.32873,13.51234,1.11670,1,0.67568,0.33142,10.96594,1.11670,1,
0,Games,794,13.04340,47084593220,0.48422,0.29264,12.71497,0.32843,32,1,0.49321,0.22471,1,0.58750,0.29199,0,,0.31848,0.32696,13.82188,1.08470,1,0.68247,0.33028,12.03961,1.08470,1,
0,Games,818,13.43762,47085822009,0.51967,0.25164,13.05994,0.37769,33,1,0.58603,0.30019,1,0.58750,0.29199,0,,0.31856,0.32839,14.03486,1.07480,1,0.68249,0.33191,11.88433,1.07975,1,
0,Games,845,13.88123,47087204998,0.55297,0.27486,13.45441,0.42682,34,1,0.60489,0.36091,1,0.58750,0.29199,0,,0.32194,0.32892,13.55712,1.13156,1,0.68555,0.33434,12.43062,1.13156,1,
0,Games,865,14.20978,47088229039,0.62026,0.35088,13.89789,0.31189,35,1,0.63369,0.38966,1,0.58750,0.29199,0,,0.32411,0.33114,14.03060,1.12585,1,0.68790,0.33606,12.47176,1.12013,1,
0,Games,910,14.94916,47090533936,0.58338,0.84779,14.32465,0.62451,36,1,0.56604,0.88782,1,0.58750,0.29199,0,,0.32180,0.34469,14.36595,1.10947,1,0.68482,0.34678,13.14982,1.10947,1,
0,Games,934,15.34326,47091762448,0.56090,0.87050,14.96552,0.37775,37,1,0.52507,0.87179,1,0.58750,0.29199,0,,0.32023,0.34492,14.74551,1.11442,1,0.68479,0.34595,13.40346,1.11442,1,
0,Games,950,15.60626,47092582309,0.53392,0.81073,15.35974,0.24652,38,1,0.52274,0.38386,1,0.58750,0.29199,0,,0.32325,0.33163,15.13673,1.14870,1,0.68591,0.33492,13.15585,1.14870,1,
0,Games,973,15.98401,47093759685,0.55888,0.26387,15.67194,0.31207,39,1,0.60325,0.31645,1,0.58750,0.29199,0,,0.32532,0.32724,13.92090,1.09956,1,0.68864,0.33048,13.47843,1.09461,1,
0,Games,997,16.37854,47094989536,0.59721,0.28987,16.00024,0.37830,40,1,0.61440,0.34628,1,0.58750,0.29199,0,,0.32138,0.32869,14.07309,1.07975,1,0.68531,0.33062,14.23671,1.07975,1,
0,Games,1001,16.44385,47095193212,0.59674,0.38810,16.39478,0.04907,41,1,0.59163,0.45324,1,0.58750,0.29199,0,,0.32112,0.33061,14.12668,1.08470,1,0.68382,0.33269,12.12143,1.08470,1,
0,Games,1026,16.85461,47096473598,0.54908,0.82058,16.55927,0.29535,42,1,0.51693,0.84669,1,0.58750,0.29199,0,,0.31858,0.34428,13.80700,1.12585,1,0.68286,0.34551,12.12766,1.12013,1,
0,Games,1063,17.46252,47098368596,0.50247,0.83208,16.87097,0.59155,43,1,0.50912,0.89837,1,0.58750,0.29199,0,,0.31665,0.34620,13.32764,1.12585,1,0.68106,0.34638,11.94025,1.12013,1,
0,Games,1084,17.80750,47099443919,0.51979,0.86203,17.47882,0.32867,44,1,0.58325,0.89603,1,0.58750,0.29199,0,,0.32100,0.34727,12.47437,1.16013,1,0.68434,0.34842,11.64984,1.16013,1,
0,Games,1099,18.05389,47100212003,0.59268,0.82591,17.82373,0.23016,45,1,0.59438,0.55338,1,0.58750,0.29199,0,,0.32238,0.33658,13.77372,1.13156,1,0.68427,0.33910,11.86975,1.13156,1,
0,Games,1156,18.99005,47103130335,0.61829,0.34092,18.11975,0.87030,46,1,0.66304,0.33029,1,0.58750,0.29199,0,,0.32028,0.33089,13.16204,1.11442,1,0.68400,0.33025,12.42236,1.11442,1,
