MEDIA_ID,MEDIA_NAME,CNT,TIME(2015/11/19 15:16:05.436),TIMETICK(f=3117236),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,
0,Games,22,0.36164,34472674395,0.52728,0.11918,0.00000,0.36164,1,1,0.49351,0.23071,1,0.51875,0.15039,0,,0.33910,0.20203,18.00031,0.93104,1,0.71218,0.21704,16.96335,0.92565,1,
0,Games,47,0.77224,34473954341,0.48346,0.32637,0.42723,0.34501,2,1,0.15305,0.52574,1,0.47578,0.54102,0,,0.32905,0.20793,18.15358,0.95905,1,0.70079,0.22200,17.29752,0.95427,1,
0,Games,64,1.05135,34474824400,0.25848,0.50560,0.83785,0.21351,3,1,0.54916,0.43880,1,0.49453,0.53223,0,,0.34245,0.20223,18.22982,0.94109,1,0.71682,0.22003,16.55169,0.94415,1,
0,Games,83,1.36348,34475797366,0.63128,0.38919,1.11710,0.24638,4,1,0.73482,0.23160,1,0.55937,0.37793,0,,0.35116,0.19314,19.06488,0.94670,1,0.72469,0.21170,18.56573,0.95026,1,
0,Games,101,1.65909,34476718846,0.82583,0.29065,1.42927,0.22981,5,1,0.87582,0.29576,1,0.60312,0.29395,0,,0.37164,0.18876,18.59225,0.92892,1,0.74436,0.21732,17.74882,0.92803,1,
0,Games,114,1.87271,34477384753,0.82126,0.49869,1.67570,0.19701,6,1,0.78916,0.59153,1,0.59531,0.43750,0,,0.37604,0.20230,19.64821,0.94634,1,0.74889,0.23139,17.60028,0.94156,1,
0,Games,127,2.08620,34478050271,0.61253,0.57613,1.88909,0.19711,7,1,0.52158,0.56792,1,0.58828,0.49121,0,,0.37325,0.19847,20.81178,0.96745,1,0.74839,0.22381,18.52202,0.96656,1,
0,Games,140,2.29990,34478716419,0.38648,0.43575,2.10276,0.19714,8,1,0.24052,0.28190,1,0.55547,0.46777,0,,0.35273,0.17174,19.69673,0.94603,1,0.72857,0.18804,18.43651,0.94515,1,
0,Games,159,2.61195,34479689149,0.17399,0.23630,2.36572,0.24623,9,1,0.13374,0.21298,1,0.48281,0.32520,0,,0.31870,0.17115,20.11479,0.92976,1,0.69565,0.16660,18.13460,0.93726,1,
0,Games,177,2.90770,34480611066,0.16120,0.24057,2.62835,0.27934,10,1,0.47002,0.26778,1,0.48281,0.41113,0,,0.32971,0.18230,17.91278,0.92087,1,0.70560,0.18589,17.85851,0.92392,1,
0,Games,197,3.23721,34481638244,0.56221,0.27900,2.97345,0.26377,11,1,0.81970,0.26841,1,0.49219,0.47559,0,,0.37406,0.18845,19.36190,0.90137,1,0.74938,0.20591,18.50138,0.90053,1,
0,Games,218,3.58105,34482710055,0.82953,0.28881,3.30182,0.27923,12,1,0.88567,0.32875,1,0.52422,0.67285,0,,0.39614,0.19228,20.03638,0.90542,1,0.77030,0.21917,18.50690,0.90453,1,
0,Games,235,3.86030,34483580563,0.84652,0.35100,3.59767,0.26263,13,1,0.70062,0.41297,1,0.53594,0.65137,0,,0.39097,0.19687,20.45477,0.92949,1,0.76549,0.22100,19.54087,0.93254,1,
0,Games,251,4.12317,34484399993,0.52323,0.48011,3.92617,0.19700,14,1,0.41637,0.53425,1,0.54609,0.62207,0,,0.36477,0.21062,20.30608,0.94503,1,0.74154,0.22492,19.46428,0.94859,1,
0,Games,268,4.40243,34485270486,0.28753,0.65952,4.18893,0.21349,15,1,0.15803,0.77645,1,0.53828,0.73242,0,,0.32886,0.22865,20.30552,0.97336,1,0.70696,0.22575,21.02275,0.97247,1,
0,Games,290,4.76405,34486397760,0.13912,0.75036,4.46837,0.29568,16,1,0.09743,0.69449,1,0.53906,0.70410,0,,0.32609,0.22762,21.77493,0.95837,1,0.70302,0.22288,19.68853,0.96192,1,
0,Games,298,4.89543,34486807296,0.24047,0.61387,4.78028,0.11515,17,1,0.47857,0.46394,1,0.54453,0.68164,0,,0.34753,0.21790,20.72132,0.92790,1,0.72481,0.21971,18.37947,0.91969,1,
0,Games,324,5.32268,34488139145,0.66945,0.38570,4.96103,0.36165,18,1,0.84370,0.33639,1,0.60312,0.53613,0,,0.39529,0.20432,20.44774,0.92876,1,0.76857,0.22730,19.05451,0.92787,1,
0,Games,344,5.65107,34489162814,0.85328,0.31662,5.38816,0.26291,19,1,0.86262,0.17894,1,0.62187,0.47754,0,,0.39935,0.19490,21.01322,0.94961,1,0.77240,0.21799,19.46852,0.94872,1,
0,Games,358,5.88091,34489879257,0.74076,0.25551,5.66739,0.21351,20,1,0.52367,0.25885,1,0.62187,0.47754,0,,0.38045,0.19501,19.31683,0.95017,1,0.75381,0.21392,18.95457,0.94928,1,
0,Games,375,6.16015,34490749710,0.43312,0.24496,5.94668,0.21347,21,1,0.37386,0.21219,1,0.55937,0.34961,0,,0.35568,0.19738,18.04704,0.93765,1,0.72971,0.19983,17.12097,0.93676,1,
0,Games,389,6.39014,34491466651,0.28134,0.20075,6.17680,0.21334,22,1,0.18236,0.17363,1,0.48516,0.18555,0,,0.33029,0.19573,17.33102,0.93865,1,0.70385,0.18113,15.32186,0.94615,1,
0,Games,418,6.86677,34492952440,0.16461,0.18783,6.40677,0.46001,23,1,0.30495,0.22698,1,0.46172,0.25488,0,,0.32689,0.19014,13.69545,0.95942,1,0.69983,0.17675,12.82661,0.95853,1,
0,Games,436,7.16240,34493873967,0.52845,0.32529,6.93242,0.22998,24,1,0.64153,0.36192,1,0.46875,0.44434,0,,0.36085,0.19015,15.82149,0.95837,1,0.73470,0.19315,14.65352,0.95359,1,
0,Games,449,7.37590,34494539504,0.76076,0.42786,7.17876,0.19714,25,1,0.93061,0.46951,1,0.47656,0.64063,0,,0.38519,0.19215,17.88570,0.98097,1,0.75786,0.20128,17.07101,0.97557,1,
0,Games,471,7.73741,34495666428,0.86812,0.51611,7.44190,0.29551,26,1,0.66051,0.46180,1,0.49375,0.73926,0,,0.38251,0.19523,18.56185,0.97183,1,0.75744,0.20491,16.65409,0.96643,1,
0,Games,490,8.04937,34496638876,0.53152,0.48178,7.80300,0.24637,27,1,0.44810,0.46949,1,0.50781,0.61328,0,,0.34950,0.20085,18.44975,0.96288,1,0.72528,0.19694,18.38143,0.95748,1,
0,Games,507,8.32875,34497509761,0.23411,0.49746,8.11498,0.21377,28,1,0.12291,0.51215,1,0.50859,0.52246,0,,0.32201,0.21410,17.83010,0.95117,1,0.69794,0.19577,17.63915,0.95028,1,
0,Games,531,8.72287,34498738340,0.14410,0.54570,8.34511,0.37777,29,1,0.44643,0.49826,1,0.50781,0.54395,0,,0.34570,0.20841,18.76780,0.93781,1,0.72121,0.20231,17.80928,0.94137,1,
